Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
1/2/2015,1184.01,1194.54,1167.94,1188.24,4.21,0.36%,128663,375184
1/5/2015,1187.88,1207.28,1178.08,1204.48,16.24,1.37%,159051,378485
1/6/2015,1204.46,1222.67,1201.58,1218.34,13.86,1.15%,220267,394021
1/7/2015,1218.3,1218.48,1208.97,1211,-7.34,-0.60%,130128,392885
1/8/2015,1210.84,1216.09,1204.68,1208.56,-2.44,-0.20%,148470,391482
1/9/2015,1208.41,1223.43,1207.24,1222.81,14.25,1.18%,178507,394512
1/12/2015,1222.53,1235.66,1218.2,1233.31,10.5,0.86%,162346,399525
1/13/2015,1233.43,1243.58,1227.71,1230.39,-2.92,-0.24%,209305,402108
1/14/2015,1230.6,1243.8,1225.12,1228.26,-2.13,-0.17%,228954,403082
1/15/2015,1228.31,1266.24,1225.88,1262.49,34.23,2.79%,322426,421911
1/16/2015,1263.06,1281.45,1256.99,1279.76,17.27,1.37%,252190,424386
1/20/2015,1275.82,1296.83,1273.88,1294.66,14.9,1.16%,277963,430128
1/21/2015,1295.04,1304.63,1285,1292.81,-1.85,-0.14%,242837,436994
1/22/2015,1292.75,1306.11,1279.68,1301.8,8.99,0.70%,265586,450985
1/23/2015,1301.69,1302.1,1284.88,1294.71,-7.09,-0.54%,195357,449113
1/26/2015,1294.1,1298.98,1275.81,1281.17,-13.54,-1.05%,240271,454556
1/27/2015,1281.15,1297.28,1272.24,1292.14,10.97,0.86%,285810,438279
1/28/2015,1292.1,1293.5,1280.38,1284.26,-7.88,-0.61%,344831,429563
1/29/2015,1284.32,1285.69,1252.05,1257.01,-27.25,-2.12%,325928,418171
1/30/2015,1256.62,1284.48,1256.62,1283.15,26.14,2.08%,189019,422794
2/2/2015,1284.4,1284.4,1266.53,1273.96,-9.19,-0.72%,126199,422491
2/3/2015,1273.97,1284.83,1255.59,1260.08,-13.88,-1.09%,194199,419524
2/4/2015,1260.21,1271.81,1256.6,1269.1,9.02,0.72%,149009,414492
2/5/2015,1269.15,1273.76,1256.75,1264.61,-4.49,-0.35%,119489,414502
2/6/2015,1264.45,1268.64,1228.64,1233.53,-31.08,-2.46%,215338,401110
2/9/2015,1235.5,1243.43,1234.34,1238.89,5.36,0.43%,101233,394447
2/10/2015,1238.16,1245.65,1230.86,1233.2,-5.69,-0.46%,104456,393232
