Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
6/2/2011,2325.56,2335.65,2314.69,2326.7,4.22,0.18%,280024,341893
6/3/2011,2301.39,2317.93,2289.4,2292.31,-34.39,-1.48%,290506,336117
6/6/2011,2288.61,2299.39,2273.24,2274.48,-17.83,-0.78%,224856,334015
6/7/2011,2279.55,2288.76,2268.06,2268.96,-5.52,-0.24%,237174,340737
6/8/2011,2264.39,2268,2246.62,2252.89,-16.07,-0.71%,290758,340112
6/9/2011,2253.23,2267.76,2246.49,2256.64,3.75,0.17%,285128,345775
6/10/2011,2249.4,2251.96,2220.83,2221.09,-35.55,-1.58%,362909,348038
6/13/2011,2225.21,2234.22,2214.37,2222.28,1.19,0.05%,347638,362404
6/14/2011,2240.39,2256.46,2240.39,2250.34,28.06,1.26%,443233,401154
6/15/2011,2229.81,2243.22,2204.15,2209.01,-41.33,-1.84%,480477,408915
6/16/2011,2209.75,2216.74,2180.94,2199.93,-9.08,-0.41%,405860,418178
6/17/2011,2220.04,2222.51,2186.78,2192.96,-6.97,-0.32%,308546,281416
6/20/2011,2187.21,2210.64,2186.77,2204.36,11.4,0.52%,215203,276950
6/21/2011,2210.97,2253.27,2203.71,2251.82,47.46,2.15%,340070,287433
6/22/2011,2243.21,2254.64,2234.83,2235.75,-16.07,-0.71%,223762,277468
6/23/2011,2210.49,2256.7,2204.47,2255.05,19.3,0.86%,415633,277690
6/24/2011,2245.49,2246.96,2213.1,2217.06,-37.99,-1.68%,316125,275375
6/27/2011,2217.63,2263.21,2215.14,2252.24,35.18,1.59%,287464,265514
6/28/2011,2256.52,2286.92,2254.94,2285.75,33.51,1.49%,237836,267870
6/29/2011,2290.5,2299.32,2278.85,2294.43,8.68,0.38%,252836,266430
6/30/2011,2303,2327.36,2302.67,2325.07,30.64,1.34%,202165,274194
7/1/2011,2326.16,2363.36,2320.57,2361.39,36.32,1.56%,238639,288365
7/5/2011,2363.08,2374.41,2357.31,2371.21,9.82,0.42%,249609,292653
7/6/2011,2368.75,2383.77,2361.47,2378.58,7.37,0.31%,257942,300586
7/7/2011,2396.64,2418.99,2394.55,2412.89,34.31,1.44%,214816,316969
7/8/2011,2390.16,2405.92,2379.14,2405.89,-7,-0.29%,283619,337769
7/11/2011,2380.56,2392.09,2354.12,2362,-43.89,-1.82%,280163,343819
7/12/2011,2362.19,2366.35,2342.44,2343.79,-18.21,-0.77%,305071,356267
7/13/2011,2360.43,2377.34,2345.8,2352.43,8.64,0.37%,267325,373223
